Place,,Confederation,Points
1,England   ,UEFA,8087
2,Brazil   ,CONMEBOL,"7735,5"
3,Italy   ,UEFA,7510
4,Spain   ,UEFA,"7400,5"
5,Germany   ,UEFA,"6570,25"
6,France   ,UEFA,"5562,25"
7,Portugal   ,UEFA,"5168,25"
8,Netherlands   ,UEFA,"4841,5"
9,Argentina   ,CONMEBOL,"4808,5"
10,Belgium   ,UEFA,"4294,25"
11,Colombia   ,CONMEBOL,4180
12,Turkey   ,UEFA,"4029,25"
13,Paraguay   ,CONMEBOL,3553
14,Czech Republic   ,UEFA,"3412,75"
15,Egypt   ,CAF,"3374,25"
16,Greece   ,UEFA,3370
17,Ecuador   ,CONMEBOL,"3338,5"
18,Scotland   ,UEFA,"3037,25"
19,Uruguay   ,CONMEBOL,2976
20,Roumania   ,UEFA,"2843,5"
21,Croatia   ,UEFA,"2835,75"
22,Serbia   ,UEFA,"2781,5"
23,Austria   ,UEFA,2744
24,Denmark   ,UEFA,2734
25,Mexico   ,CONCACAF,"2708,5"
26,Israel   ,UEFA,2634
27,Saudi Arabia   ,AFC,"2626,75"
28,Japan   ,AFC,"2555,75"
29,Korea Republic   ,AFC,2512
30,Cyprus   ,UEFA,2510
31,Morocco   ,CAF,2427
32,Poland   ,UEFA,"2369,5"
33,Switzerland   ,UEFA,"2305,5"
34,Ukraine   ,UEFA,"2305,25"
35,Norway   ,UEFA,"2217,5"
36,Chile   ,CONMEBOL,"2215,25"
37,Algeria   ,CAF,"2143,75"
38,Costa Rica   ,CONCACAF,"2103,75"
39,Bulgaria   ,UEFA,2085
40,Peru   ,CONMEBOL,"2014,5"
41,Azerbaijan   ,UEFA,"1991,5"
42,Bolivia   ,CONMEBOL,1887
43,Northern Ireland   ,UEFA,1824
44,Sweden   ,UEFA,"1793,5"
45,Hungary   ,UEFA,"1785,5"
46,Slovenia   ,UEFA,1776
47,South Africa   ,CAF,"1770,75"
48,USA   ,CONCACAF,"1707,75"
49,Republic of Ireland   ,UEFA,1685
50,Latvia   ,UEFA,"1672,75"
